case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
2019050N05163::forecast_start=48,2019050N05163,oracle_per_lead_min,20,45.99,27.414,73.741,45.991,1.001,4.54,32.62,56.898,12.016,41.015,95.401,77.618,83.62
2019195N13136::forecast_start=41,2019195N13136,oracle_per_lead_min,20,131.399,8.944,50.038,60.461,41.017,87.981,106.091,147.175,156.202,161.189,246.518,252.541,258.634
2019205N23137::forecast_start=22,2019205N23137,oracle_per_lead_min,20,176.566,39.279,14.626,31.975,95.546,120.773,126.535,110.164,147.375,212.314,268.388,398.85,552.968
2019210N16117::forecast_start=37,2019210N16117,oracle_per_lead_min,20,72.382,17.888,48.757,40.473,22.8,47.862,44.36,87.88,79.603,42.192,75.588,192.975,168.202
2019213N17155::forecast_start=44,2019213N17155,oracle_per_lead_min,20,158.115,23.666,79.248,83.785,108.854,95.998,119.848,121.042,56.727,37.235,134.047,331.889,705.039
2019214N15134::forecast_start=49,2019214N15134,oracle_per_lead_min,20,30.097,12.37,21.512,16.99,3.923,6.602,19.192,32.712,8.822,19.567,17.328,80.514,121.634
2019216N16147::forecast_start=52,2019216N16147,oracle_per_lead_min,20,37.04,24.69,41.349,14.355,6.049,7.331,30.68,32.084,20.868,22.462,48.602,60.303,135.711
2019231N13135::forecast_start=35,2019231N13135,oracle_per_lead_min,20,184.817,11.193,17.516,39.104,51.687,108.871,160.576,143.849,206.391,280.088,334.329,394.534,469.668
2019236N08143::forecast_start=31,2019236N08143,oracle_per_lead_min,20,134.218,8.731,43.507,45.717,69.821,52.733,13.782,106.608,129.705,93.167,260.843,369.54,416.465
2019242N18126::forecast_start=38,2019242N18126,oracle_per_lead_min,20,95.003,83.563,186.656,110.977,87.06,122.344,75.102,43.659,16.554,47.077,114.857,150.076,102.111
2019255N09162::forecast_start=17,2019255N09162,oracle_per_lead_min,20,385.387,23.075,63.478,75.141,124.201,150.951,242.202,364.967,525.824,620.931,733.435,823.563,876.881
2019260N20129::forecast_start=29,2019260N20129,oracle_per_lead_min,20,185.018,83.736,162.014,176.543,169.542,168.419,197.138,230.755,178.358,107.046,237.186,289.973,219.505
2019268N10155::forecast_start=45,2019268N10155,oracle_per_lead_min,20,115.699,38.589,136.403,182.711,183.723,176.201,188.683,147.043,120.635,96.196,68.603,15.867,33.74
2019288N16136::forecast_start=33,2019288N16136,oracle_per_lead_min,20,519.173,1.72,31.036,98.229,225.925,378.309,429.665,535.896,741.387,962.278,1010.56,969.321,845.749
2019290N08169::forecast_start=39,2019290N08169,oracle_per_lead_min,20,240.935,37.904,50.463,91.323,116.694,138.274,168.37,223.546,287.612,369.766,435.458,484.147,487.663
2019306N10162::forecast_start=39,2019306N10162,oracle_per_lead_min,20,97.933,14.633,38.183,55.637,90.635,116.843,140.428,110.554,46.149,51.409,39.765,161.423,309.534
2019308N13114::forecast_start=35,2019308N13114,oracle_per_lead_min,20,188.342,32.578,75.023,51.104,139.088,130.212,227.154,291.735,256.761,282.609,211.025,210.682,352.135
